speaker,word,n
mr. attorney general,bed,110
mr. attorney general,princess,89
mr. attorney general,pergami,69
mr. attorney general,royal,69
mr. attorney general,highness,62
mr. attorney general,occasion,49
mr. attorney general,slept,45
mr. attorney general,table,45
mr. attorney general,milan,39
mr. attorney general,courier,38
mr. attorney general,saw,38
mr. attorney general,intercourse,36
mr. attorney general,evidence,35
mr. attorney general,near,35
mr. attorney general,observed,35
mr. attorney general,period,34
mr. solicitor general,royal,204
mr. solicitor general,room,200
mr. solicitor general,highness,189
mr. solicitor general,princess,146
mr. solicitor general,pergami,131
mr. solicitor general,lords,114
mr. solicitor general,time,110
mr. solicitor general,bed,88
mr. solicitor general,evidence,79
mr. solicitor general,remember,76
mr. solicitor general,bergami,73
mr. solicitor general,door,69
mr. solicitor general,witness,58
mr. solicitor general,milan,55
mr. solicitor general,facts,51
mr. solicitor general,tent,47
mr. solicitor general,demont,41
mr. solicitor general,night,41
mr. solicitor general,letter,39
mr. solicitor general,situation,39
mr. denman,evidence,242
mr. denman,time,226
mr. denman,country,199
mr. denman,lords,176
mr. denman,conduct,174
mr. denman,court,174
mr. denman,justice,163
mr. denman,law,152
mr. denman,royal,130
mr. denman,inquiry,128
mr. denman,character,127
mr. denman,witness,119
mr. denman,public,116
mr. denman,england,112
mr. denman,charge,111
mr. denman,counsel,111
mr. denman,circumstances,110
mr. denman,queen,108
mr. denman,facts,104
mr. denman,duty,102
mr. attwood,country,483
mr. attwood,money,472
mr. attwood,prices,412
mr. attwood,price,324
mr. attwood,standard,264
mr. attwood,value,262
mr. attwood,measures,197
mr. attwood,bank,189
mr. attwood,notes,174
mr. attwood,government,170
mr. attwood,condition,166
mr. attwood,circulation,162
mr. attwood,time,157
mr. attwood,fall,148
mr. attwood,period,143
mr. attwood,corn,138
mr. attwood,war,133
mr. attwood,extent,127
mr. attwood,distress,123
mr. attwood,gold,121
mr. hobhouse,country,437
mr. hobhouse,people,408
mr. hobhouse,parliament,244
mr. hobhouse,time,231
mr. hobhouse,government,223
mr. hobhouse,ministers,200
mr. hobhouse,england,171
mr. hobhouse,000,168
mr. hobhouse,power,157
mr. hobhouse,tax,153
mr. hobhouse,public,148
mr. hobhouse,law,125
mr. hobhouse,system,121
mr. hobhouse,petition,119
mr. hobhouse,men,118
mr. hobhouse,character,109
mr. hobhouse,occasion,108
mr. hobhouse,conduct,105
mr. hobhouse,least,101
mr. hobhouse,true,101
the lord chancellor,protestant,183
the lord chancellor,time,168
the lord chancellor,law,161
the lord chancellor,roman,158
the lord chancellor,counsel,145
the lord chancellor,parliament,139
the lord chancellor,catholic,138
the lord chancellor,church,133
the lord chancellor,catholics,119
the lord chancellor,country,100
the lord chancellor,oath,99
the lord chancellor,evidence,94
the lord chancellor,princess,82
the lord chancellor,duty,81
the lord chancellor,witness,80
the lord chancellor,ireland,79
the lord chancellor,crown,74
the lord chancellor,religion,71
the lord chancellor,england,69
the lord chancellor,justice,68
the earl of liverpool,country,873
the earl of liverpool,government,612
the earl of liverpool,time,386
the earl of liverpool,ireland,334
the earl of liverpool,spain,322
the earl of liverpool,parliament,315
the earl of liverpool,war,274
the earl of liverpool,circumstances,251
the earl of liverpool,marquis,222
the earl of liverpool,public,181
the earl of liverpool,year,181
the earl of liverpool,law,180
the earl of liverpool,france,173
the earl of liverpool,power,171
the earl of liverpool,duty,169
the earl of liverpool,000,166
the earl of liverpool,lords,158
the earl of liverpool,period,157
the earl of liverpool,system,157
the earl of liverpool,measures,153
the marquis of titchfield,country,66
the marquis of titchfield,currency,40
the marquis of titchfield,depreciation,31
the marquis of titchfield,standard,31
the marquis of titchfield,justice,22
the marquis of titchfield,time,20
the marquis of titchfield,war,20
the marquis of titchfield,commons,18
the marquis of titchfield,government,18
the marquis of titchfield,paper,18
the marquis of titchfield,public,18
the marquis of titchfield,value,18
the marquis of titchfield,notes,17
the marquis of titchfield,considered,15
the marquis of titchfield,injustice,15
the marquis of titchfield,pound,15
the marquis of titchfield,ancient,14
the marquis of titchfield,extent,14
the marquis of titchfield,gold,14
the marquis of titchfield,increased,14
mr. j. williams,court,143
mr. j. williams,time,83
mr. j. williams,chancery,68
mr. j. williams,law,66
mr. j. williams,cause,59
mr. j. williams,smith,55
mr. j. williams,judgment,52
mr. j. williams,inquiry,40
mr. j. williams,year,39
mr. j. williams,causes,37
mr. j. williams,term,35
mr. j. williams,business,32
mr. j. williams,evidence,30
mr. j. williams,paper,30
mr. j. williams,proceedings,30
mr. j. williams,country,28
mr. j. williams,delay,27
mr. j. williams,office,27
mr. j. williams,vice,27
mr. j. williams,facts,26
mr. hume,000,2109
mr. hume,country,1601
mr. hume,year,1338
mr. hume,public,936
mr. hume,government,845
mr. hume,time,753
mr. hume,ireland,620
mr. hume,men,619
mr. hume,pay,602
mr. hume,expense,578
mr. hume,ministers,570
mr. hume,system,547
mr. hume,1,540
mr. hume,officers,534
mr. hume,money,519
mr. hume,reduction,500
mr. hume,charge,455
mr. hume,england,433
mr. hume,people,433
mr. hume,expenditure,432
the bishop of limerick,clergy,137
the bishop of limerick,ireland,120
the bishop of limerick,church,103
the bishop of limerick,irish,97
the bishop of limerick,country,63
the bishop of limerick,resident,51
the bishop of limerick,property,46
the bishop of limerick,lords,41
the bishop of limerick,people,37
the bishop of limerick,public,36
the bishop of limerick,parochial,34
the bishop of limerick,residence,34
the bishop of limerick,diocess,31
the bishop of limerick,bishop,28
the bishop of limerick,men,28
the bishop of limerick,english,27
the bishop of limerick,time,27
the bishop of limerick,character,25
the bishop of limerick,indeed,25
the bishop of limerick,poor,25
sir james mackintosh,country,319
sir james mackintosh,government,238
sir james mackintosh,england,186
sir james mackintosh,people,181
sir james mackintosh,law,180
sir james mackintosh,time,178
sir james mackintosh,power,171
sir james mackintosh,parliament,125
sir james mackintosh,men,124
sir james mackintosh,ireland,119
sir james mackintosh,ministers,119
sir james mackintosh,conduct,108
sir james mackintosh,war,105
sir james mackintosh,public,103
sir james mackintosh,catholics,102
sir james mackintosh,laws,101
sir james mackintosh,europe,100
sir james mackintosh,system,100
sir james mackintosh,catholic,96
sir james mackintosh,spain,94
mr. huskisson,country,868
mr. huskisson,trade,348
mr. huskisson,year,330
mr. huskisson,time,297
mr. huskisson,duty,271
mr. huskisson,public,258
mr. huskisson,system,252
mr. huskisson,corn,247
mr. huskisson,government,244
mr. huskisson,foreign,228
mr. huskisson,parliament,219
mr. huskisson,bank,215
mr. huskisson,price,215
mr. huskisson,000,197
mr. huskisson,law,186
mr. huskisson,duties,178
mr. huskisson,british,177
mr. huskisson,commercial,176
mr. huskisson,circumstances,170
mr. huskisson,laws,168
mr. secretary peel,country,731
mr. secretary peel,law,483
mr. secretary peel,time,408
mr. secretary peel,government,406
mr. secretary peel,ireland,361
mr. secretary peel,catholics,294
mr. secretary peel,parliament,293
mr. secretary peel,public,289
mr. secretary peel,000,274
mr. secretary peel,england,266
mr. secretary peel,justice,255
mr. secretary peel,year,249
mr. secretary peel,office,243
mr. secretary peel,power,238
mr. secretary peel,system,236
mr. secretary peel,circumstances,229
mr. secretary peel,catholic,223
mr. secretary peel,laws,211
mr. secretary peel,period,192
mr. secretary peel,duty,191
sir william plunkett,catholics,81
sir william plunkett,ireland,64
sir william plunkett,roman,62
sir william plunkett,catholic,46
sir william plunkett,protestant,42
sir william plunkett,people,35
sir william plunkett,clergy,32
sir william plunkett,body,31
sir william plunkett,church,31
sir william plunkett,religion,31
sir william plunkett,establishment,28
sir william plunkett,conduct,26
sir william plunkett,time,26
sir william plunkett,country,24
sir william plunkett,rights,20
sir william plunkett,securities,20
sir william plunkett,parliament,19
sir william plunkett,oath,17
sir william plunkett,pitt,17
sir william plunkett,security,17
the master of the rolls,catholics,68
the master of the rolls,catholic,60
the master of the rolls,court,44
the master of the rolls,roman,42
the master of the rolls,securities,36
the master of the rolls,country,34
the master of the rolls,ireland,34
the master of the rolls,power,34
the master of the rolls,security,27
the master of the rolls,law,23
the master of the rolls,cause,21
the master of the rolls,church,20
the master of the rolls,time,19
the master of the rolls,chancery,18
the master of the rolls,parliament,18
the master of the rolls,religion,18
the master of the rolls,emancipation,17
the master of the rolls,body,16
the master of the rolls,influence,16
the master of the rolls,practice,16
the solicitor-general,court,133
the solicitor-general,law,126
the solicitor-general,laws,57
the solicitor-general,power,54
the solicitor-general,time,54
the solicitor-general,catholic,53
the solicitor-general,catholics,52
the solicitor-general,crown,52
the solicitor-general,country,47
the solicitor-general,judge,47
the solicitor-general,courts,43
the solicitor-general,evidence,40
the solicitor-general,duty,35
the solicitor-general,church,34
the solicitor-general,justice,32
the solicitor-general,jury,31
the solicitor-general,money,31
the solicitor-general,judges,30
the solicitor-general,witnesses,29
the solicitor-general,counsel,28
lord holland,country,351
lord holland,government,279
lord holland,law,235
lord holland,time,207
lord holland,parliament,198
lord holland,power,167
lord holland,people,150
lord holland,england,146
lord holland,church,144
lord holland,spain,142
lord holland,constitution,140
lord holland,lords,140
lord holland,ireland,139
lord holland,war,124
lord holland,france,116
lord holland,justice,108
lord holland,ministers,108
lord holland,conduct,102
lord holland,proceeding,98
lord holland,treaty,96
the earl of aberdeen,country,37
the earl of aberdeen,austria,24
the earl of aberdeen,government,24
the earl of aberdeen,treaty,14
the earl of aberdeen,portugal,13
the earl of aberdeen,scotland,13
the earl of aberdeen,england,12
the earl of aberdeen,naples,11
the earl of aberdeen,power,11
the earl of aberdeen,system,11
the earl of aberdeen,conduct,10
the earl of aberdeen,duke,10
the earl of aberdeen,duty,10
the earl of aberdeen,people,10
the earl of aberdeen,time,10
the earl of aberdeen,don,8
the earl of aberdeen,language,8
the earl of aberdeen,law,8
the earl of aberdeen,lords,8
the earl of aberdeen,miguel,8
mr. charles grant,ireland,139
mr. charles grant,country,85
mr. charles grant,people,80
mr. charles grant,government,79
mr. charles grant,silk,61
mr. charles grant,irish,52
mr. charles grant,system,48
mr. charles grant,time,43
mr. charles grant,trade,42
mr. charles grant,duty,39
mr. charles grant,england,38
mr. charles grant,catholic,32
mr. charles grant,county,32
mr. charles grant,catholics,30
mr. charles grant,power,30
mr. charles grant,measures,29
mr. charles grant,year,29
mr. charles grant,evil,27
mr. charles grant,law,27
mr. charles grant,laws,27
the bishop of exeter,clergy,11
the bishop of exeter,petition,10
the bishop of exeter,petitioner,9
the bishop of exeter,certificate,8
the bishop of exeter,rev,7
the bishop of exeter,petitions,6
the bishop of exeter,prelate,5
the bishop of exeter,allowed,4
the bishop of exeter,bishop,4
the bishop of exeter,diocesan,4
the bishop of exeter,exeter,4
the bishop of exeter,refused,4
the bishop of exeter,signature,4
the bishop of exeter,signed,4
the bishop of exeter,speech,4
the bishop of exeter,acted,3
the bishop of exeter,applied,3
the bishop of exeter,catholic,3
the bishop of exeter,clergymen,3
the bishop of exeter,counsel,3
mr. spring rice,ireland,327
mr. spring rice,country,132
mr. spring rice,chief,130
mr. spring rice,catholics,127
mr. spring rice,parliament,116
mr. spring rice,catholic,111
mr. spring rice,government,110
mr. spring rice,law,104
mr. spring rice,justice,97
mr. spring rice,baron,95
mr. spring rice,fees,92
mr. spring rice,irish,87
mr. spring rice,time,81
mr. spring rice,public,76
mr. spring rice,people,73
mr. spring rice,system,66
mr. spring rice,character,63
mr. spring rice,inquiry,63
mr. spring rice,duty,62
mr. spring rice,education,58
lord stanley,letter,6
lord stanley,petition,6
lord stanley,county,5
lord stanley,forward,5
lord stanley,justice,5
lord stanley,laws,5
lord stanley,minutes,5
lord stanley,read,5
lord stanley,rose,5
lord stanley,crown,4
lord stanley,duty,4
lord stanley,individual,4
lord stanley,numbers,4
lord stanley,breach,3
lord stanley,corn,3
lord stanley,evidence,3
lord stanley,gaoler,3
lord stanley,intention,3
lord stanley,lancaster,3
lord stanley,magistrates,3
lord j. russell,borough,46
lord j. russell,country,29
lord j. russell,corruption,26
lord j. russell,parliament,25
lord j. russell,grampound,22
lord j. russell,bribery,18
lord j. russell,government,18
lord j. russell,people,18
lord j. russell,return,18
lord j. russell,time,18
lord j. russell,franchise,17
lord j. russell,electors,16
lord j. russell,lopez,16
lord j. russell,punishment,15
lord j. russell,forward,14
lord j. russell,law,14
lord j. russell,money,14
lord j. russell,towns,14
lord j. russell,considered,13
lord j. russell,hundred,13
sir j. graham,bridge,3
sir j. graham,indemnity,3
sir j. graham,ordnance,3
sir j. graham,petition,3
sir j. graham,public,3
sir j. graham,abolition,2
sir j. graham,baronet,2
sir j. graham,borough,2
sir j. graham,close,2
sir j. graham,complaint,2
sir j. graham,declared,2
sir j. graham,electors,2
sir j. graham,evidence,2
sir j. graham,expenditure,2
sir j. graham,intention,2
sir j. graham,kingdom,2
sir j. graham,knew,2
sir j. graham,lieutenant,2
sir j. graham,money,2
sir j. graham,necessity,2
sir r. inglis,catholic,6
sir r. inglis,grievance,5
sir r. inglis,church,4
sir r. inglis,contended,4
sir r. inglis,ireland,4
sir r. inglis,guineas,3
sir r. inglis,rate,3
sir r. inglis,acre,2
sir r. inglis,adverted,2
sir r. inglis,baronet,2
sir r. inglis,complained,2
sir r. inglis,money,2
sir r. inglis,o'connell,2
sir r. inglis,paid,2
sir r. inglis,practical,2
sir r. inglis,purpose,2
sir r. inglis,rates,2
sir r. inglis,returns,2
sir r. inglis,several,2
sir r. inglis,thurles,2
sir r. h. inglis,church,35
sir r. h. inglis,catholic,20
sir r. h. inglis,ireland,20
sir r. h. inglis,roman,20
sir r. h. inglis,baronet,17
sir r. h. inglis,parish,14
sir r. h. inglis,protestant,13
sir r. h. inglis,year,13
sir r. h. inglis,power,12
sir r. h. inglis,rate,12
sir r. h. inglis,law,10
sir r. h. inglis,acre,9
sir r. h. inglis,rates,9
sir r. h. inglis,chapel,8
sir r. h. inglis,felt,8
sir r. h. inglis,men,8
sir r. h. inglis,returns,8
sir r. h. inglis,constitution,7
sir r. h. inglis,establishment,7
sir r. h. inglis,expenditure,7
mr. gladstone,demand,7
mr. gladstone,country,5
mr. gladstone,trade,5
mr. gladstone,liverpool,4
mr. gladstone,petition,4
mr. gladstone,production,4
mr. gladstone,russia,4
mr. gladstone,created,3
mr. gladstone,excess,3
mr. gladstone,goods,3
mr. gladstone,influence,3
mr. gladstone,satisfied,3
mr. gladstone,10,2
mr. gladstone,alluded,2
mr. gladstone,approved,2
mr. gladstone,arose,2
mr. gladstone,cause,2
mr. gladstone,character,2
mr. gladstone,commercial,2
mr. gladstone,conceived,2
the earl of clarendon,catholics,3
the earl of clarendon,roman,2
the earl of clarendon,accomplishing,1
the earl of clarendon,acts,1
the earl of clarendon,alteration,1
the earl of clarendon,altered,1
the earl of clarendon,amounted,1
the earl of clarendon,bound,1
the earl of clarendon,cause,1
the earl of clarendon,caution,1
the earl of clarendon,defeating,1
the earl of clarendon,degree,1
the earl of clarendon,entitled,1
the earl of clarendon,greatly,1
the earl of clarendon,intention,1
the earl of clarendon,introduced,1
the earl of clarendon,invariably,1
the earl of clarendon,land,1
the earl of clarendon,law,1
the earl of clarendon,look,1
mr. villiers,ireland,43
mr. villiers,catholic,29
mr. villiers,irish,27
mr. villiers,union,26
mr. villiers,catholics,17
mr. villiers,county,17
mr. villiers,men,16
mr. villiers,people,16
mr. villiers,clergy,15
mr. villiers,england,15
mr. villiers,british,12
mr. villiers,government,12
mr. villiers,parliament,12
mr. villiers,country,11
mr. villiers,waterford,11
mr. villiers,religion,10
mr. villiers,time,10
mr. villiers,concession,9
mr. villiers,election,9
mr. villiers,feeling,9
the duke of newcastle,time,4
the duke of newcastle,acts,3
the duke of newcastle,church,3
the duke of newcastle,corporation,3
the duke of newcastle,test,3
the duke of newcastle,acknowledgment,2
the duke of newcastle,altogether,2
the duke of newcastle,catholics,2
the duke of newcastle,christianity,2
the duke of newcastle,considered,2
the duke of newcastle,convinced,2
the duke of newcastle,danger,2
the duke of newcastle,declaration,2
the duke of newcastle,expressed,2
the duke of newcastle,favour,2
the duke of newcastle,forward,2
the duke of newcastle,full,2
the duke of newcastle,government,2
the duke of newcastle,objection,2
the duke of newcastle,petitions,2
mr. bright,country,91
mr. bright,law,55
mr. bright,people,44
mr. bright,time,38
mr. bright,duty,36
mr. bright,petition,36
mr. bright,west,35
mr. bright,india,34
mr. bright,government,32
mr. bright,ministers,28
mr. bright,tax,28
mr. bright,interests,27
mr. bright,colony,25
mr. bright,system,24
mr. bright,colonies,23
mr. bright,men,23
mr. bright,public,22
mr. bright,crown,21
mr. bright,parliament,21
mr. bright,indies,20
the solicitor general,law,70
the solicitor general,country,43
the solicitor general,time,41
the solicitor general,counsel,40
the solicitor general,court,38
the solicitor general,queen,34
the solicitor general,witness,32
the solicitor general,judge,30
the solicitor general,crime,29
the solicitor general,cross,27
the solicitor general,party,27
the solicitor general,punishment,27
the solicitor general,examination,26
the solicitor general,evidence,25
the solicitor general,conduct,24
the solicitor general,petition,24
the solicitor general,proceeding,24
the solicitor general,justice,22
the solicitor general,attorney,21
the solicitor general,power,20
mr. walter,averages,3
mr. walter,taxation,3
mr. walter,agriculturist,2
mr. walter,aware,2
mr. walter,corn,2
mr. walter,importation,2
mr. walter,lands,2
mr. walter,market,2
mr. walter,pay,2
mr. walter,1818,1
mr. walter,1819,1
mr. walter,abuse,1
mr. walter,accomplish,1
mr. walter,actual,1
mr. walter,adapted,1
mr. walter,added,1
mr. walter,address,1
mr. walter,agricultural,1
mr. walter,agriculturists,1
the earl of rosebery,peers,19
the earl of rosebery,scotland,19
the earl of rosebery,union,8
the earl of rosebery,election,6
the earl of rosebery,england,6
the earl of rosebery,peer,6
the earl of rosebery,representative,6
the earl of rosebery,vote,6
the earl of rosebery,church,5
the earl of rosebery,entitled,4
the earl of rosebery,parliament,4
the earl of rosebery,peerage,4
the earl of rosebery,people,4
the earl of rosebery,religion,4
the earl of rosebery,resolution,4
the earl of rosebery,scotch,4
the earl of rosebery,sit,4
the earl of rosebery,acts,3
the earl of rosebery,connected,3
the earl of rosebery,corporation,3
mr. labouchere,canada,8
mr. labouchere,colonies,6
mr. labouchere,country,6
mr. labouchere,english,5
mr. labouchere,government,5
mr. labouchere,system,5
mr. labouchere,affections,4
mr. labouchere,british,4
mr. labouchere,felt,4
mr. labouchere,french,4
mr. labouchere,people,4
mr. labouchere,pitt,4
mr. labouchere,towards,4
mr. labouchere,canadas,3
mr. labouchere,hoped,3
mr. labouchere,keep,3
mr. labouchere,lower,3
mr. labouchere,manner,3
mr. labouchere,power,3
mr. labouchere,protection,3
lord cranborne,game,4
lord cranborne,laws,3
lord cranborne,consent,2
lord cranborne,disposed,2
lord cranborne,move,2
lord cranborne,respecting,2
lord cranborne,select,2
lord cranborne,sessional,2
lord cranborne,year,2
lord cranborne,1,1
lord cranborne,12,1
lord cranborne,3,1
lord cranborne,372,1
lord cranborne,467,1
lord cranborne,5,1
lord cranborne,acquire,1
lord cranborne,added,1
lord cranborne,adhered,1
lord cranborne,agriculturist,1
lord cranborne,amounted,1
mr. fox,law,47
mr. fox,power,41
mr. fox,scotland,39
mr. fox,time,39
mr. fox,children,36
mr. fox,government,32
mr. fox,factory,26
mr. fox,public,24
mr. fox,police,23
mr. fox,country,22
mr. fox,inspectors,20
mr. fox,magistrates,20
mr. fox,hours,19
mr. fox,system,19
mr. fox,factories,17
mr. fox,prisons,16
mr. fox,leave,15
mr. fox,year,15
mr. fox,clauses,14
mr. fox,moved,14
the chancellor of the exchequer,000,1614
the chancellor of the exchequer,government,1459
the chancellor of the exchequer,public,1282
the chancellor of the exchequer,duty,1131
the chancellor of the exchequer,country,1094
the chancellor of the exchequer,ireland,1023
the chancellor of the exchequer,year,1017
the chancellor of the exchequer,time,976
the chancellor of the exchequer,church,891
the chancellor of the exchequer,parliament,665
the chancellor of the exchequer,baronet,584
the chancellor of the exchequer,law,572
the chancellor of the exchequer,proposition,558
the chancellor of the exchequer,revenue,547
the chancellor of the exchequer,bank,492
the chancellor of the exchequer,power,444
the chancellor of the exchequer,reduction,437
the chancellor of the exchequer,office,436
the chancellor of the exchequer,duties,418
the chancellor of the exchequer,tax,415
mr. francis,government,46
mr. francis,public,44
mr. francis,duty,37
mr. francis,time,36
mr. francis,baring,35
mr. francis,deacle,35
mr. francis,office,33
mr. francis,county,26
mr. francis,country,24
mr. francis,ireland,24
mr. francis,malt,24
mr. francis,offices,24
mr. francis,commission,21
mr. francis,bingham,20
mr. francis,drawback,20
mr. francis,evidence,19
mr. francis,parties,19
mr. francis,vote,19
mr. francis,paid,18
mr. francis,circumstances,17
mr. wallace,office,206
mr. wallace,post,187
mr. wallace,country,147
mr. wallace,scotland,124
mr. wallace,system,119
mr. wallace,letters,107
mr. wallace,judges,105
mr. wallace,time,100
mr. wallace,ireland,92
mr. wallace,year,88
mr. wallace,law,75
mr. wallace,000,72
mr. wallace,court,68
mr. wallace,public,66
mr. wallace,petition,55
mr. wallace,duties,54
mr. wallace,government,53
mr. wallace,tithe,53
mr. wallace,courts,52
mr. wallace,people,52
mr. grattan,ireland,37
mr. grattan,poor,21
mr. grattan,union,16
mr. grattan,laws,13
mr. grattan,dublin,12
mr. grattan,committees,10
mr. grattan,archbishop,9
mr. grattan,government,9
mr. grattan,value,9
mr. grattan,wicklow,9
mr. grattan,consequence,8
mr. grattan,evidence,8
mr. grattan,people,8
mr. grattan,year,8
mr. grattan,council,7
mr. grattan,parishioners,7
mr. grattan,privy,7
mr. grattan,proceedings,7
mr. grattan,reports,7
mr. grattan,words,7
mr. croker,borough,414
mr. croker,population,371
mr. croker,boroughs,370
mr. croker,000,291
mr. croker,ministers,269
mr. croker,town,213
mr. croker,baronet,212
mr. croker,country,208
mr. croker,time,199
mr. croker,schedule,198
mr. croker,places,194
mr. croker,inhabitants,193
mr. croker,government,187
mr. croker,public,182
mr. croker,reform,169
mr. croker,people,154
mr. croker,representation,151
mr. croker,navy,147
mr. croker,county,139
mr. croker,houses,131
lord grenville,court,6
lord grenville,5,5
lord grenville,character,4
lord grenville,conduct,4
lord grenville,judicial,3
lord grenville,law,3
lord grenville,proceedings,3
lord grenville,station,3
lord grenville,charge,2
lord grenville,commissioners,2
lord grenville,condemnation,2
lord grenville,country,2
lord grenville,decided,2
lord grenville,ecclesiastical,2
lord grenville,express,2
lord grenville,expressed,2
lord grenville,individual,2
lord grenville,inferior,2
lord grenville,judge,2
lord grenville,known,2
lord porchester,country,38
lord porchester,people,29
lord porchester,reform,28
lord porchester,government,26
lord porchester,men,25
lord porchester,ministers,25
lord porchester,property,23
lord porchester,constitution,20
lord porchester,power,18
lord porchester,interests,16
lord porchester,representation,16
lord porchester,interest,15
lord porchester,saw,15
lord porchester,popular,14
lord porchester,change,13
lord porchester,influence,13
lord porchester,public,13
lord porchester,system,13
lord porchester,feeling,12
lord porchester,times,12
mr. marryat,colonies,24
mr. marryat,colony,16
mr. marryat,government,16
mr. marryat,population,14
mr. marryat,slave,14
mr. marryat,british,11
mr. marryat,colonial,11
mr. marryat,colonists,11
mr. marryat,foreign,11
mr. marryat,west,11
mr. marryat,petition,10
mr. marryat,time,10
mr. marryat,grenada,9
mr. marryat,immediate,9
mr. marryat,crown,8
mr. marryat,french,8
mr. marryat,laws,8
mr. marryat,slavery,8
mr. marryat,slaves,8
mr. marryat,st,8
mr. speaker,people,76
mr. speaker,england,59
mr. speaker,country,55
mr. speaker,commons,53
mr. speaker,time,53
mr. speaker,parliament,42
mr. speaker,crown,39
mr. speaker,boroughs,37
mr. speaker,constitution,34
mr. speaker,reform,34
mr. speaker,poor,33
mr. speaker,franchise,31
mr. speaker,influence,31
mr. speaker,history,29
mr. speaker,men,28
mr. speaker,ireland,26
mr. speaker,power,26
mr. speaker,public,26
mr. speaker,representation,26
mr. speaker,system,26
mr. brougham,country,150
mr. brougham,time,126
mr. brougham,people,107
mr. brougham,parliament,92
mr. brougham,court,89
mr. brougham,speech,83
mr. brougham,law,82
mr. brougham,men,78
mr. brougham,government,77
mr. brougham,000,74
mr. brougham,courts,72
mr. brougham,justice,65
mr. brougham,king,62
mr. brougham,england,58
mr. brougham,judges,56
mr. brougham,reform,56
mr. brougham,scotland,55
mr. brougham,cause,54
mr. brougham,expense,54
mr. brougham,system,53
lord castlereagh,ireland,80
lord castlereagh,country,28
lord castlereagh,petition,27
lord castlereagh,government,26
lord castlereagh,reform,25
lord castlereagh,catholic,21
lord castlereagh,church,19
lord castlereagh,county,18
lord castlereagh,protestant,18
lord castlereagh,meeting,17
lord castlereagh,time,15
lord castlereagh,vote,15
lord castlereagh,protestants,14
lord castlereagh,people,13
lord castlereagh,support,13
lord castlereagh,petitioners,12
lord castlereagh,catholics,11
lord castlereagh,felt,11
lord castlereagh,petitions,11
lord castlereagh,power,11
mr. ward,country,361
mr. ward,ireland,330
mr. ward,church,316
mr. ward,government,256
mr. ward,people,246
mr. ward,baronet,228
mr. ward,system,228
mr. ward,time,181
mr. ward,000,164
mr. ward,england,137
mr. ward,property,133
mr. ward,land,114
mr. ward,power,114
mr. ward,irish,113
mr. ward,parliament,107
mr. ward,vote,103
mr. ward,establishment,99
mr. ward,protestant,95
mr. ward,year,95
mr. ward,population,93
lord morpeth,country,107
lord morpeth,government,92
lord morpeth,time,86
lord morpeth,petition,85
lord morpeth,ireland,82
lord morpeth,people,72
lord morpeth,church,68
lord morpeth,reform,55
lord morpeth,public,53
lord morpeth,county,50
lord morpeth,system,49
lord morpeth,parliament,48
lord morpeth,circumstances,47
lord morpeth,felt,44
lord morpeth,support,44
lord morpeth,duty,42
lord morpeth,hoped,42
lord morpeth,ministers,42
lord morpeth,forward,41
lord morpeth,education,38
the speaker,petition,363
the speaker,time,154
the speaker,petitions,140
the speaker,duty,129
the speaker,public,108
the speaker,read,102
the speaker,practice,94
the speaker,discussion,90
the speaker,business,85
the speaker,parliament,84
the speaker,privileges,84
the speaker,rule,83
the speaker,debate,80
the speaker,presented,80
the speaker,speaker,78
the speaker,chair,74
the speaker,notice,74
the speaker,used,73
the speaker,gallant,72
the speaker,evidence,71
sir henry parnell,corn,76
sir henry parnell,public,63
sir henry parnell,country,59
sir henry parnell,price,56
sir henry parnell,000,49
sir henry parnell,bank,41
sir henry parnell,laws,34
sir henry parnell,office,34
sir henry parnell,government,33
sir henry parnell,army,28
sir henry parnell,expenditure,27
sir henry parnell,inquiry,27
sir henry parnell,year,27
sir henry parnell,trade,25
sir henry parnell,plan,24
sir henry parnell,system,24
sir henry parnell,military,23
sir henry parnell,reduction,23
sir henry parnell,time,23
sir henry parnell,war,23
earl grey,government,1138
earl grey,country,861
earl grey,duke,804
earl grey,time,569
earl grey,ireland,542
earl grey,lords,436
earl grey,ministers,427
earl grey,parliament,424
earl grey,public,403
earl grey,church,399
earl grey,reform,371
earl grey,duty,358
earl grey,people,340
earl grey,circumstances,318
earl grey,law,311
earl grey,power,281
earl grey,occasion,274
earl grey,interests,273
earl grey,felt,244
earl grey,measures,227
mr. western,country,39
mr. western,petition,26
mr. western,meeting,24
mr. western,distress,23
mr. western,currency,20
mr. western,people,17
mr. western,county,14
mr. western,reform,14
mr. western,change,13
mr. western,power,11
mr. western,borough,10
mr. western,classes,10
mr. western,corn,10
mr. western,duty,10
mr. western,essex,10
mr. western,men,10
mr. western,petitioners,10
mr. western,class,9
mr. western,felt,9
mr. western,increased,9
mr. leslie foster,distress,8
mr. leslie foster,trade,8
mr. leslie foster,capital,7
mr. leslie foster,ireland,7
mr. leslie foster,produce,6
mr. leslie foster,currency,4
mr. leslie foster,england,4
mr. leslie foster,inquiry,4
mr. leslie foster,quantity,4
mr. leslie foster,times,4
mr. leslie foster,country,3
mr. leslie foster,demand,3
mr. leslie foster,dublin,3
mr. leslie foster,employment,3
mr. leslie foster,flourishing,3
mr. leslie foster,manufactures,3
mr. leslie foster,paid,3
mr. leslie foster,places,3
mr. leslie foster,population,3
mr. leslie foster,various,3
mr. bennet,poor,12
mr. bennet,laws,10
