n,sentiment,decade,grammatical_collocates
1,Positive,1860,free tenants
9,Positive,1860,superior landlord
1,Positive,1860,many leaseholds
1,Positive,1860,new allotment
1,Positive,1860,special rent
1,Positive,1860,new leases
8,Positive,1860,new property
14,Positive,1860,many landlords
12,Positive,1860,particular property
21,Positive,1860,higher rent
2,Positive,1860,many lands
3,Positive,1860,certain rent
1,Positive,1860,own landlords
13,Positive,1860,great property
8,Positive,1860,main land
1,Positive,1860,touching property
1,Positive,1860,whole leases
8,Positive,1860,free land
1,Positive,1860,available property
19,Positive,1860,charitable property
4,Positive,1860,rich landlords
4,Positive,1860,rich land
1,Positive,1860,real chattels
1,Positive,1860,large zemindaries
1,Positive,1860,richer landholders
3,Positive,1860,old landowners
1,Positive,1860,large land
11,Positive,1860,valuable land
3,Positive,1860,best land
7,Positive,1860,particular lands
14,Positive,1860,good landlord
1,Positive,1860,respective landowners
8,Positive,1860,certain land
9,Positive,1860,own tenants
1,Positive,1860,very lands
12,Positive,1860,whole land
5,Positive,1860,many eminent
1,Positive,1860,sunny land
8,Positive,1860,good tenant
3,Positive,1860,higher rental
1,Positive,1860,like property
1,Positive,1860,overwhelming property
15,Positive,1860,large landowners
2,Positive,1860,natural rent
6,Positive,1860,much rent
6,Positive,1860,great landlords
4,Positive,1860,large rent
1,Positive,1860,most eminent
2,Positive,1860,broad lands
1,Positive,1860,valuable landmark
20,Positive,1860,absolute property
2,Positive,1860,high land
3,Positive,1860,great landowner
1,Positive,1860,large landholder
1,Positive,1860,literary property
8,Positive,1860,exclusive property
1,Positive,1860,excellent landlord
5,Positive,1860,best landlords
3,Positive,1860,particular tenement
1,Positive,1860,many inclosures
2,Positive,1860,great tenants
9,Positive,1860,many tenants
1,Positive,1860,humane landlords
3,Positive,1860,first property
2,Positive,1860,very tenants
6,Positive,1860,new lease
3,Positive,1860,old rent
3,Positive,1860,valued rent
6,Positive,1860,real rental
10,Positive,1860,improving tenant
2,Positive,1860,old landlord
6,Positive,1860,fixed rent
4,Positive,1860,very property
3,Positive,1860,whole lands
6,Positive,1860,old landlords
5,Positive,1860,beneficial leases
2,Positive,1860,more lands
1,Positive,1860,large rentals
2,Positive,1860,old lease
1,Positive,1860,intelligent tenants
2,Positive,1860,improved lands
4,Positive,1860,particular land
1,Positive,1860,desirable landowners
2,Positive,1860,worth rental
1,Positive,1860,major crofton
1,Positive,1860,general crofton
1,Positive,1860,real ryotwaree
1,Positive,1860,free lands
2,Positive,1860,most property
2,Positive,1860,fertile lands
2,Positive,1860,capable land
1,Positive,1860,full rents
1,Positive,1860,certain rentals
1,Positive,1860,potent landlords
2,Positive,1860,civilized land
2,Positive,1860,noblest property
1,Positive,1860,classic land
2,Positive,1860,wealthy landowners
17,Positive,1860,high rents
11,Positive,1860,many landowners
2,Positive,1860,improving leases
1,Positive,1860,legal property
13,Positive,1860,good land
5,Positive,1860,richest land
1,Positive,1860,available lands
1,Positive,1860,general land
1,Positive,1860,full rental
3,Positive,1860,certain rents
2,Positive,1860,free rent
2,Positive,1860,rich absentees
4,Positive,1860,advanced rent
2,Positive,1860,young landlord
1,Positive,1860,new landlord
1,Positive,1860,great tenant
1,Positive,1860,major frith
1,Positive,1860,intelligent tenant
1,Positive,1860,wild lands
7,Positive,1860,great landlord
11,Positive,1860,outgoing tenant
1,Positive,1860,respectable tenants
3,Positive,1860,whole rental
2,Positive,1860,powerful vassals
11,Positive,1860,much land
1,Positive,1860,fine property
4,Positive,1860,new land
2,Positive,1860,old land
2,Positive,1860,old lands
3,Positive,1860,best lands
1,Positive,1860,fair land
1,Positive,1860,fixed rents
1,Positive,1860,important landmark
1,Positive,1860,favoured lands
2,Positive,1860,particular inclosure
1,Positive,1860,certain enclosures
10,Positive,1860,good landlords
9,Positive,1860,good tenants
14,Positive,1860,higher rents
1,Positive,1860,old tenants
2,Positive,1860,leading landlords
3,Positive,1860,improving tenants
1,Positive,1860,own landlord
2,Positive,1860,best property
1,Positive,1860,first tenant
1,Positive,1860,true land
1,Positive,1860,good eminent
3,Positive,1860,unpaid rent
2,Positive,1860,certain tenements
1,Positive,1860,happier land
3,Positive,1860,great landmarks
3,Positive,1860,better rents
1,Positive,1860,happier tenantry
1,Positive,1860,real landlord
1,Positive,1860,kind landlord
4,Positive,1860,own rents
1,Positive,1860,original lands
5,Positive,1860,good property
1,Positive,1860,clear rental
1,Positive,1860,blessed land
1,Positive,1860,own tenantry
3,Positive,1860,strong lands
1,Positive,1860,new lessee
4,Positive,1860,wild land
2,Positive,1860,fine land
6,Positive,1860,rich landowners
2,Positive,1860,clear land
1,Positive,1860,wise landlord
3,Positive,1860,new tenants
3,Positive,1860,light lands
1,Positive,1860,growing land
1,Positive,1860,desirable land
2,Positive,1860,many evictions
1,Positive,1860,influential landowners
2,Positive,1860,increased rental
1,Positive,1860,distinct lease
1,Positive,1860,more absenteeism
1,Positive,1860,great depopulation
7,Positive,1860,outgoing tenants
3,Positive,1860,new landlords
3,Positive,1860,improving landlords
1,Positive,1860,much landlord
1,Positive,1860,contented tenantry
1,Positive,1860,right tenant
2,Positive,1860,excellent land
1,Positive,1860,popular landlords
2,Positive,1860,improved rent
1,Positive,1860,original lessee
2,Positive,1860,peculiar property
1,Positive,1860,reasonable landlord
1,Positive,1860,reasonable tenant
1,Positive,1860,particular lease
1,Positive,1860,valuable lands
1,Positive,1860,respected property
9,Positive,1860,general property
1,Positive,1860,rich landlord
1,Positive,1860,more landowners
2,Positive,1860,clear rent
1,Positive,1860,high rental
2,Positive,1860,whole tenantry
2,Positive,1860,compelling landlords
1,Positive,1860,superior landholders
3,Positive,1860,fair rent
2,Positive,1860,reasonable rent
1,Positive,1860,enlightened landowner
1,Positive,1860,large landholders
1,Positive,1860,distinct property
1,Positive,1860,popular landowner
2,Positive,1860,many leases
2,Positive,1860,promised land
4,Positive,1860,rightful property
1,Positive,1860,free property
1,Positive,1860,appropriate land
1,Positive,1860,own demesne
1,Positive,1860,general absenteeism
2,Positive,1860,wealthy landlords
1,Positive,1860,finest lands
1,Positive,1860,growing lands
1,Positive,1860,polite landolfo
4,Positive,1860,clear landmark
1,Positive,1860,full rent
2,Positive,1860,own tenant
1,Positive,1860,own rent
1,Positive,1860,young subalterns
1,Positive,1860,increased property
2,Positive,1860,rich lands
2,Positive,1860,old enclosures
1,Positive,1860,new enclosures
4,Positive,1860,large rents
1,Positive,1860,important landowners
1,Positive,1860,new lessees
1,Positive,1860,intelligent landlords
1,Positive,1860,successive landlord
1,Positive,1860,better tenancy
1,Positive,1860,giving landlords
4,Positive,1860,large tenants
2,Positive,1860,original rent
1,Positive,1860,better tenantry
6,Positive,1860,more rent
1,Positive,1860,prosperous tenants
2,Positive,1860,giving leases
5,Positive,1860,old property
1,Positive,1860,certain zemindars
1,Positive,1860,genuine landowners
1,Positive,1860,most leases
3,Positive,1860,best rent
1,Positive,1860,large lands
1,Positive,1860,prosperous tenantry
1,Positive,1860,influential feudatories
2,Positive,1860,happy land
1,Positive,1860,richest property
1,Positive,1860,wealthy landowner
1,Positive,1860,vested property
1,Positive,1860,delightful land
1,Positive,1860,willing tenants
1,Positive,1860,good rents
1,Positive,1860,greater land
1,Positive,1860,better tenant
1,Positive,1860,great land
1,Positive,1860,unpaid landowner
1,Positive,1860,full tenements
6,Positive,1860,real rent
1,Positive,1860,considerable rents
1,Positive,1860,great eminenee
2,Positive,1860,suitable leases
2,Positive,1860,determinable leases
3,Positive,1860,particular tenant
1,Positive,1860,particular tenants
1,Positive,1860,honourable landlords
1,Positive,1860,bare land
1,Positive,1860,secure property
1,Positive,1860,fixed rental
1,Positive,1860,willing land
1,Positive,1860,responsible property
2,Positive,1860,new tenancy
1,Positive,1860,great landmark
1,Positive,1860,old landmark
1,Positive,1860,real renting
1,Positive,1860,decent tenement
1,Positive,1860,freehold allotments
1,Positive,1860,cheap land
1,Positive,1860,light land
2,Positive,1860,whole rent
2,Positive,1860,certain landlords
2,Positive,1860,large landlords
1,Positive,1860,large landlord
1,Positive,1860,happiest land
1,Positive,1860,successive leaseholders
1,Positive,1860,old leases
1,Positive,1860,considerable rent
1,Positive,1860,old subalterns
2,Positive,1860,more landlords
1,Positive,1860,free socage
1,Positive,1860,own feu
1,Positive,1860,genuine occupancy
1,Positive,1860,large tenantry
1,Positive,1860,many tenant
1,Positive,1860,fortunate landlords
1,Positive,1860,old tenantries
1,Positive,1860,prosperous land
1,Positive,1860,original lease
1,Positive,1860,growing rents
1,Positive,1860,greater rental
1,Positive,1860,many property
1,Positive,1860,great lands
1,Positive,1860,better lease
1,Positive,1860,social landmarks
1,Positive,1860,fine landscape
1,Positive,1860,improving property
1,Positive,1860,better property
1,Positive,1860,general tenement
1,Positive,1860,free rents
1,Positive,1860,exclusive rents
1,Positive,1860,general inclosure
1,Positive,1860,certain allotments
1,Positive,1860,complete property
1,Positive,1860,determinable lease
1,Positive,1860,direct tenant
2,Positive,1860,successive tenants
1,Positive,1860,whole demesne
1,Positive,1860,beautiful demesne
1,Positive,1860,very land
1,Positive,1860,more tenants
1,Positive,1860,respectable tenantry
1,Positive,1860,fair lease
1,Positive,1860,smiling landscape
1,Positive,1860,particular landlord
1,Positive,1860,more villany
1,Positive,1860,worth tenement
1,Positive,1860,worth tenant
2,Positive,1860,like rental
1,Positive,1860,special leases
1,Positive,1860,original landlord
1,Positive,1860,improving landlord
2,Positive,1860,great landholders
1,Positive,1860,popular property
1,Positive,1860,new lands
1,Positive,1860,dedicated property
1,Positive,1860,large tenant
1,Positive,1860,greatest absentees
1,Positive,1860,first lessee
1,Positive,1860,own lease
2,Positive,1860,best tenants
127,Positive,1870,own property
71,Positive,1870,own land
519,Positive,1870,real property
4,Positive,1870,beneficial leases
12,Positive,1870,valuable land
72,Positive,1870,good landlords
13,Positive,1870,reasonable rent
1,Positive,1860,direct tenants
60,Positive,1870,valuable property
9,Positive,1870,certain leases
11,Positive,1870,own lands
2,Positive,1870,richest land
24,Positive,1870,high rent
2,Positive,1870,improved rental
53,Positive,1870,many landlords
122,Positive,1870,outgoing tenant
2,Positive,1870,very leases
1,Positive,1870,perfected lease
11,Positive,1870,free land
16,Positive,1870,absolute property
45,Positive,1870,large property
13,Positive,1870,good land
24,Positive,1870,certain lands
7,Positive,1870,free rent
6,Positive,1870,certain landlords
3,Positive,1870,rich landlord
2,Positive,1870,real landlord
8,Positive,1870,happy land
1,Positive,1860,improved land
5,Positive,1870,peculiar property
83,Positive,1870,fair rent
21,Positive,1870,fair rents
18,Positive,1870,valued rents
39,Positive,1870,valued rent
1,Positive,1870,richer tenants
18,Positive,1870,best landlords
4,Positive,1870,respectable tenant
22,Positive,1870,good tenant
4,Positive,1870,good lease
2,Positive,1870,exceptional landlords
2,Positive,1870,particular rent
1,Positive,1870,particular chattels
1,Positive,1860,rich landholder
13,Positive,1870,fixed property
18,Positive,1870,own tenants
12,Positive,1870,worth property
18,Positive,1870,considerable property
3,Positive,1870,many eminent
23,Positive,1870,charitable property
3,Positive,1870,fertile land
26,Positive,1870,more land
1,Positive,1860,ready landlords
1,Positive,1860,ready tenants
1,Positive,1860,celebrated landscape
9,Positive,1870,best land
1,Positive,1870,granted land
12,Positive,1870,new lease
8,Positive,1870,original tenant
2,Positive,1870,excellent landlord
17,Positive,1870,good tenants
6,Positive,1870,new landlords
3,Positive,1870,large tenant
6,Positive,1870,improving tenant
2,Positive,1870,intelligent tenants
2,Positive,1870,higher tenants
33,Positive,1870,whole property
5,Positive,1870,whole tenantry
2,Positive,1870,greater tenants
1,Positive,1870,excellent landlords
2,Positive,1870,good leases
2,Positive,1870,many evictions
1,Positive,1870,reasonable tenants
2,Positive,1870,certain tenements
10,Positive,1870,particular property
29,Positive,1870,much property
62,Positive,1870,increased rent
1,Positive,1860,certain tenants
2,Positive,1870,direct tenants
2,Positive,1870,old lease
1,Positive,1870,kind landlord
23,Positive,1870,high rents
13,Positive,1870,superior landlord
2,Positive,1870,better property
3,Positive,1870,fair lease
2,Positive,1870,prosperous tenantry
8,Positive,1870,outgoing tenants
1,Positive,1870,fair land
3,Positive,1870,compelling landlords
3,Positive,1870,old lands
4,Positive,1870,new land
1,Positive,1870,fixed leases
1,Positive,1870,very property
1,Positive,1870,light rent
2,Positive,1870,more evictions
3,Positive,1870,greater rent
20,Positive,1870,large landowners
17,Positive,1870,many landowners
1,Positive,1860,original property
2,Positive,1870,particular tenant
12,Positive,1870,many leases
28,Positive,1870,many tenants
5,Positive,1870,great tenants
2,Positive,1870,whole rent
25,Positive,1870,certain property
1,Positive,1870,certain occupancy
2,Positive,1870,far land
65,Positive,1870,good landlord
5,Positive,1870,new property
1,Positive,1870,kind landlords
7,Positive,1870,fixed rents
9,Positive,1870,certain rent
14,Positive,1870,fixed rent
19,Positive,1870,increased rents
32,Positive,1870,new tenant
1,Positive,1870,increased rental
10,Positive,1870,freehold land
1,Positive,1870,free tenant
8,Positive,1870,old landlords
2,Positive,1870,more subalterns
3,Positive,1870,fertile lands
1,Positive,1870,much absenteeism
1,Positive,1870,large rental
3,Positive,1870,important property
1,Positive,1870,particular tenancy
40,Positive,1870,higher rent
5,Positive,1870,available land
1,Positive,1870,filled land
1,Positive,1870,complete absenteeism
1,Positive,1870,older landlords
1,Positive,1870,outgoing landlord
2,Positive,1870,first lease
15,Positive,1870,full rent
1,Positive,1870,old tenancy
1,Positive,1870,smiling land
7,Positive,1870,worth land
1,Positive,1860,fresh property
1,Positive,1860,broad landmarks
1,Positive,1860,able property
1,Positive,1860,willing property
26,Positive,1870,much land
1,Positive,1870,particular enclosure
1,Positive,1860,new rents
3,Positive,1870,large rents
5,Positive,1870,more property
1,Positive,1870,certain allotment
1,Positive,1870,new lands
1,Positive,1870,valuable lease
1,Positive,1870,popular lease
1,Positive,1870,protected tenancy
2,Positive,1870,particular lease
1,Positive,1870,fit tenant
23,Positive,1870,freehold property
1,Positive,1870,greatest landlords
1,Positive,1870,satisfied tenant
6,Positive,1870,great landowner
8,Positive,1870,certain tenants
17,Positive,1870,whole land
2,Positive,1870,particular landlord
5,Positive,1870,advanced rent
15,Positive,1870,great landowners
1,Positive,1870,admirable tenant
8,Positive,1870,more rent
1,Positive,1870,very tenants
1,Positive,1870,outgoing landlords
1,Positive,1870,worthy landlords
4,Positive,1870,easy rent
4,Positive,1870,promised land
2,Positive,1870,reasonable lease
1,Positive,1870,enlightened landlords
2,Positive,1870,large landlords
4,Positive,1870,own tenantry
5,Positive,1870,large tenants
6,Positive,1870,old landmarks
23,Positive,1870,old rent
1,Positive,1870,fit tenements
3,Positive,1870,improving tenants
3,Positive,1870,best landlord
9,Positive,1870,improving landlord
20,Positive,1870,real rent
2,Positive,1870,exceptional landlord
1,Positive,1870,exceptional tenant
1,Positive,1870,pure evictions
2,Positive,1870,wealthiest landlords
1,Positive,1870,respectable tenantry
2,Positive,1870,wild land
1,Positive,1870,smart rent
1,Positive,1870,considerate landlords
4,Positive,1870,right tenant
1,Positive,1870,advantageous rent
2,Positive,1870,original lessee
1,Positive,1870,excellent tenant
1,Positive,1870,intelligent tenant
1,Positive,1870,whole tenant
3,Positive,1870,new tenants
2,Positive,1870,contented tenantry
1,Positive,1870,original leaseholder
10,Positive,1870,succeeding tenant
2,Positive,1870,responsible tenant
6,Positive,1870,old tenant
1,Positive,1870,superior mesne
1,Positive,1870,rich tenant
1,Positive,1870,real tenant
1,Positive,1870,humble tenants
1,Positive,1870,large lease
15,Positive,1870,new rent
4,Positive,1870,honest tenant
2,Positive,1870,improved rent
2,Positive,1870,popular landlord
2,Positive,1870,energetic landlord
3,Positive,1870,wealthy landlord
2,Positive,1870,respectable tenants
1,Positive,1870,large lands
1,Positive,1870,old land
3,Positive,1870,fresh lease
3,Positive,1870,rich landlords
1,Positive,1870,whole tenancy
2,Positive,1870,wealthy tenant
1,Positive,1870,fair landlords
1,Positive,1870,improved land
2,Positive,1870,new landlord
3,Positive,1870,certain landowners
1,Positive,1870,certain landlord
1,Positive,1870,compelling tenant
1,Positive,1870,good allotment
3,Positive,1870,better rent
1,Positive,1870,original landlord
1,Positive,1870,compelling tenants
1,Positive,1870,substantial lease
1,Positive,1870,young tenant
1,Positive,1870,first allotments
3,Positive,1870,own landlords
1,Positive,1870,straightforward tenantry
7,Positive,1870,large landowner
1,Positive,1870,improving rent
1,Positive,1870,valuing rents
1,Positive,1870,secure rents
8,Positive,1870,old tenants
9,Positive,1870,new tenancy
4,Positive,1870,high rental
1,Positive,1870,exclusive land
1,Positive,1860,bold land
2,Positive,1870,wealthy landowners
2,Positive,1870,rightful property
1,Positive,1870,free property
1,Positive,1870,much landlords
1,Positive,1870,busy land
1,Positive,1870,married subalterns
1,Positive,1870,favoured land
3,Positive,1870,most property
2,Positive,1870,rich landowners
1,Positive,1870,innocent landlord
2,Positive,1870,many landlord
2,Positive,1870,rich tenants
3,Positive,1870,general property
7,Positive,1870,exclusive property
1,Positive,1870,new inclosure
3,Positive,1870,fresh inclosures
4,Positive,1870,vested property
1,Positive,1870,admirable landlords
9,Positive,1870,main land
1,Positive,1870,finest land
2,Positive,1870,many tenements
4,Positive,1870,rich land
1,Positive,1870,original inclosure
2,Positive,1870,new inclosures
1,Positive,1870,old inclosure
1,Positive,1870,own allotments
2,Positive,1870,natural landscape
1,Positive,1870,finest landscape
1,Positive,1870,exceptional property
2,Positive,1870,powerful vassal
2,Positive,1870,own tenant
1,Positive,1870,certain squatters
1,Positive,1870,certain inclosures
1,Positive,1870,free tenantry
1,Positive,1870,gay subalterns
3,Positive,1870,young subalterns
2,Positive,1870,large rent
3,Positive,1870,wealthy tenants
1,Positive,1860,compelling tenants
1,Positive,1860,favourite property
1,Positive,1860,alive landowners
1,Positive,1860,large evictions
7,Positive,1870,certain land
1,Positive,1870,full property
2,Positive,1870,natural rent
2,Positive,1870,many inclosures
1,Positive,1870,great lands
5,Positive,1870,many lands
1,Positive,1870,broad lands
3,Positive,1870,good property
3,Positive,1870,certain rental
2,Positive,1870,respective rentals
4,Positive,1870,real rental
1,Positive,1870,original rent
1,Positive,1870,worth lease
1,Positive,1870,better tenants
1,Positive,1870,worthy land
1,Positive,1870,reasonable rents
4,Positive,1870,able property
2,Positive,1870,great landlord
2,Positive,1870,better tenant
2,Positive,1870,benevolent landlords
1,Positive,1870,intelligible property
6,Positive,1870,great landlords
1,Positive,1870,most leases
1,Positive,1870,very lands
5,Positive,1870,suitable land
1,Positive,1870,whole landlord
1,Positive,1870,right landlord
1,Positive,1870,respected landlords
6,Positive,1870,new leases
5,Positive,1870,very land
1,Positive,1870,large evictions
2,Positive,1870,particular inclosure
7,Positive,1870,whole rental
2,Positive,1870,direct leases
1,Positive,1870,promoted subalterns
1,Positive,1870,large tenements
1,Positive,1870,certain zemindars
1,Positive,1870,own subalterns
1,Positive,1870,amenable subalterns
1,Positive,1870,safe property
5,Positive,1870,most landlords
1,Positive,1870,good rent
4,Positive,1870,high land
1,Positive,1870,large enclosures
2,Positive,1870,educational property
2,Positive,1870,old landmark
1,Positive,1870,powerful landowners
1,Positive,1870,most eminent
1,Positive,1870,cleared land
1,Positive,1870,enjoyable property
1,Positive,1870,wealthy landlords
2,Positive,1870,great landmarks
2,Positive,1870,best subalterns
3,Positive,1870,valuable lands
1,Positive,1870,certain lessees
1,Positive,1870,beneficial lessees
2,Positive,1870,growing land
1,Positive,1870,exceptional rent
1,Positive,1870,capable property
1,Positive,1870,much lands
2,Positive,1870,freehold rents
2,Positive,1870,true rent
15,Positive,1870,higher rents
4,Positive,1870,old leases
1,Positive,1870,desirous landlord
3,Positive,1870,particular lands
1,Positive,1870,whole lease
1,Positive,1870,great rent
1,Positive,1870,charitable land
1,Positive,1870,whole rents
1,Positive,1870,best rent
1,Positive,1870,young franklin
2,Positive,1870,new tenements
2,Positive,1870,large rentals
3,Positive,1870,great property
1,Positive,1870,interested landowners
3,Positive,1870,old tenements
1,Positive,1870,rich landholders
2,Positive,1870,certain enclosures
1,Positive,1870,more enclosures
1,Positive,1870,many enclosures
1,Positive,1870,capable lands
4,Positive,1870,much rent
1,Positive,1870,great fiefs
1,Positive,1870,many allotments
3,Positive,1870,fixed rental
3,Positive,1870,capable land
1,Positive,1870,old landlord
2,Positive,1870,reasonable landlord
3,Positive,1870,magnificent property
1,Positive,1870,whole landscape
1,Positive,1870,most land
1,Positive,1870,most chattels
1,Positive,1870,cheap land
2,Positive,1870,large feuars
6,Positive,1870,real rents
1,Positive,1870,many feus
1,Positive,1870,many feuars
2,Positive,1870,whole lands
1,Positive,1870,full tenant
1,Positive,1870,own leases
1,Positive,1870,fair tenant
1,Positive,1870,young subaltern
3,Positive,1870,fair rental
1,Positive,1870,important leases
3,Positive,1870,particular tenants
1,Positive,1870,favoured tenants
3,Positive,1870,large landholders
1,Positive,1870,acquainted land
1,Positive,1870,old rental
4,Positive,1870,valued rental
2,Positive,1870,reasonable tenant
1,Positive,1870,honest tenants
1,Positive,1870,fresh property
1,Positive,1870,enchanted land
1,Positive,1870,many rentcharges
1,Positive,1870,improved property
2,Positive,1870,touching property
3,Positive,1870,original property
1,Positive,1870,own rents
4,Positive,1870,higher rental
1,Positive,1870,valuing property
1,Positive,1870,substantial tenant
1,Positive,1870,cheap tenements
1,Positive,1870,popular landlords
2,Positive,1870,advanced rents
1,Positive,1870,better rents
1,Positive,1870,indispensable landlord
1,Positive,1870,reasonable landlords
2,Positive,1870,light land
1,Positive,1870,legal landmarks
1,Positive,1870,wonderful land
1,Positive,1870,interesting land
1,Positive,1870,original dispossession
1,Positive,1870,desirous landowners
1,Positive,1870,legal property
1,Positive,1870,fresh leases
1,Positive,1870,first subalterns
2,Positive,1870,substantial property
1,Positive,1870,surely tenant
1,Positive,1870,good landfall
1,Positive,1870,noble property
1,Positive,1870,large allotments
1,Positive,1870,fit land
1,Positive,1870,certain inclosure
1,Positive,1870,able lands
1,Positive,1870,many property
1,Positive,1870,civilized land
1,Positive,1870,legal inclosures
1,Positive,1870,original inclosures
1,Positive,1870,generous landlords
1,Positive,1870,admiralty property
2,Positive,1870,old property
1,Positive,1870,kindly landlord
1,Positive,1870,fortunate tenant
1,Positive,1870,ready tenant
2,Positive,1870,happy tenantry
1,Positive,1870,real landlords
1,Positive,1870,courageous landlords
1,Positive,1870,wealthy landowner
2,Positive,1870,responsible tenants
1,Positive,1870,available rent
1,Positive,1870,old franklin
1,Positive,1870,exclusive rent
1,Positive,1870,free lands
1,Positive,1870,large land
1,Positive,1870,distinct hypothecation
1,Positive,1870,fair allotment
1,Positive,1870,splendid property
2,Positive,1870,fair lands
1,Positive,1870,interested tenants
1,Positive,1870,improving property
2,Positive,1870,freehold tenants
1,Positive,1870,desirous tenants
1,Positive,1870,prosperous tenants
1,Positive,1870,loyal tenantry
1,Positive,1870,valuable rents
1,Positive,1870,economical tenant
1,Positive,1870,broad landscape
1,Positive,1870,high lands
1,Positive,1870,richest lands
1,Positive,1870,original feuars
3,Positive,1870,distinct landmarks
1,Positive,1870,third landmark
3,Positive,1870,first landmark
2,Positive,1870,second landmark
1,Positive,1870,considerable landowners
1,Positive,1870,celebrated landmarks
3,Positive,1870,old rents
2,Positive,1870,new rents
1,Positive,1870,many land
1,Positive,1870,important tenants
1,Positive,1870,economic rents
11,Positive,1870,economic rent
1,Positive,1870,efficient subalterns
1,Positive,1870,wealthy landholder
1,Positive,1870,certain feudal
1,Positive,1870,general eminent
1,Positive,1870,magnificent land
1,Positive,1870,beloved landlords
1,Positive,1870,like property
1,Positive,1870,certain evictions
1,Positive,1870,definite rent
1,Positive,1870,general tenement
1,Positive,1870,suitable lands
1,Positive,1870,original lands
1,Positive,1870,respectable tenement
1,Positive,1870,true rental
1,Positive,1870,own tenements
1,Positive,1870,better lands
1,Positive,1870,steady tenants
2,Positive,1870,light lands
1,Positive,1870,more lands
2,Positive,1870,active landlord
2,Positive,1870,own demesne
2,Positive,1870,particular land
1,Positive,1870,compelling property
1,Positive,1870,next landmark
2,Positive,1870,clear landmark
2,Positive,1870,cheap rents
1,Positive,1870,capable tenant
1,Positive,1870,original rents
1,Positive,1870,high rentals
1,Positive,1870,substantial tenants
1,Positive,1870,considerable landowner
1,Positive,1870,new landowners
1,Positive,1870,civilized lands
1,Positive,1870,legal hypothec
1,Positive,1870,trustworthy tenant
1,Positive,1870,good tenantry
1,Positive,1870,improving landlords
2,Positive,1870,better land
1,Positive,1870,generous landlord
1,Positive,1870,great landmark
1,Positive,1870,much tenants
1,Positive,1870,freehold lands
1,Positive,1870,exact rents
1,Positive,1870,absolute evictions
1,Positive,1870,suitable tenants
1,Positive,1870,freehold rent
2,Positive,1870,respective rents
1,Positive,1870,sober land
1463,Positive,1880,fair rent
20,Positive,1880,honest tenant
563,Positive,1880,fair rents
23,Positive,1880,original rent
8,Positive,1880,old rental
204,Positive,1880,old rent
1,Positive,1880,general rental
1,Positive,1870,full rental
1,Positive,1870,freehold enclosure
1,Positive,1870,distinguished vassal
1,Positive,1870,general enclosure
1,Positive,1870,greater allotment
1,Positive,1870,exclusive occupancy
1,Positive,1870,higher rentals
1,Positive,1870,fortunate landlords
23,Positive,1880,free land
18,Positive,1880,great landowners
2,Positive,1880,live rent
9,Positive,1880,rich landlords
3,Positive,1880,free turbary
9,Positive,1880,own landlords
69,Positive,1880,high rents
107,Positive,1880,old rents
8,Positive,1880,excellent landlord
183,Positive,1880,own property
2,Positive,1880,very landlords
25,Positive,1880,large landowners
1,Positive,1880,honest rents
73,Positive,1880,higher rent
18,Positive,1880,large landlords
72,Positive,1880,high rent
4,Positive,1880,true rent
167,Positive,1880,many tenants
9,Positive,1880,new leases
22,Positive,1880,freehold land
6,Positive,1880,particular land
567,Positive,1880,real property
4,Positive,1880,civilized land
1,Positive,1870,great vassal
5,Positive,1880,finest land
12,Positive,1880,fertile land
1,Positive,1880,richest lands
104,Positive,1880,good landlords
1,Positive,1880,better landlord
194,Positive,1880,many landlords
77,Positive,1880,good landlord
5,Positive,1880,best rent
1,Positive,1880,better rents
43,Positive,1880,certain lands
19,Positive,1880,own lands
126,Positive,1880,increased rent
127,Positive,1880,own land
6,Positive,1880,valuable tenant
8,Positive,1880,valuable land
31,Positive,1880,freehold property
25,Positive,1880,real rent
2,Positive,1880,available property
50,Positive,1880,valuable property
54,Positive,1880,much land
11,Positive,1880,many landowners
22,Positive,1880,superior landlord
9,Positive,1880,freehold rents
8,Positive,1880,more evictions
1,Positive,1880,kind—-capricious evictions
25,Positive,1880,certain property
236,Positive,1880,outgoing tenant
39,Positive,1880,new lease
1,Positive,1870,available property
19,Positive,1880,best landlords
19,Positive,1880,outgoing tenants
9,Positive,1880,many tenant
12,Positive,1880,great tenants
1,Positive,1870,effective rental
12,Positive,1880,large tenant
53,Positive,1880,large tenants
15,Positive,1880,much property
8,Positive,1880,promised land
23,Positive,1880,whole land
23,Positive,1880,best land
21,Positive,1880,particular property
1,Positive,1880,natural property
11,Positive,1880,worth property
1,Positive,1880,particular tenement
9,Positive,1880,prosperous tenants
2,Positive,1880,much landlords
2,Positive,1880,great landmark
4,Positive,1880,wild land
1,Positive,1880,useful property
3,Positive,1880,fine land
35,Positive,1880,certain tenants
17,Positive,1880,certain evictions
1,Positive,1880,wisest landlords
16,Positive,1880,great landlord
12,Positive,1880,new landlords
39,Positive,1880,certain rent
21,Positive,1880,absolute property
1,Positive,1880,cleared land
1,Positive,1880,cleared lands
7,Positive,1880,free rent
2,Positive,1880,richer landlords
76,Positive,1880,full rent
6,Positive,1880,greater rent
58,Positive,1880,great landlords
22,Positive,1880,right tenant
12,Positive,1880,rich land
10,Positive,1880,whole tenantry
1,Positive,1880,admiring tenants
5,Positive,1880,willing landlords
15,Positive,1880,increased rents
2,Positive,1880,best tenant
24,Positive,1880,good tenant
41,Positive,1880,own tenants
5,Positive,1880,certain tenant
